Easting	Northing	Elevation	Chainage	FC	Profile	Reg_ID
368389.570	73126.550	13.019	30.744	GR	N/A	6a00108B
368388.997	73126.905	12.396	31.414	GR	N/A	6a00108B
368388.740	73127.137	12.172	31.759	SD	N/A	6a00108B
368388.459	73127.408	12.222	32.148	SD	N/A	6a00108B
368388.276	73127.488	11.003	32.341	SD	N/A	6a00108B
368385.882	73129.529	10.953	35.485	SD	N/A	6a00108B
368383.990	73130.932	10.821	37.839	SD	N/A	6a00108B
368383.148	73131.636	10.750	38.936	SD	N/A	6a00108B
368382.102	73132.506	10.452	40.297	SD	N/A	6a00108B
368382.051	73132.572	10.279	40.378	SD	N/A	6a00108B
368381.477	73133.007	10.064	41.098	SD	N/A	6a00108B
368381.138	73133.287	9.613	41.537	SD	N/A	6a00108B
368380.213	73134.032	9.300	42.725	SD	N/A	6a00108B
368380.201	73134.094	9.055	42.773	SD	N/A	6a00108B
368380.050	73134.168	9.189	42.937	SD	N/A	6a00108B
368379.768	73134.350	9.153	43.271	SD	N/A	6a00108B
368379.677	73134.416	8.823	43.383	SD	N/A	6a00108B
368378.366	73135.461	8.429	45.060	SD	N/A	6a00108B
368377.037	73136.604	7.883	46.812	SD	N/A	6a00108B
368376.713	73136.889	7.661	47.243	SD	N/A	6a00108B
368376.648	73136.913	7.470	47.309	SD	N/A	6a00108B
368375.896	73137.440	7.175	48.225	SD	N/A	6a00108B
368375.324	73137.882	6.818	48.948	SD	N/A	6a00108B
368374.569	73138.526	6.496	49.940	SD	N/A	6a00108B
368374.443	73138.681	6.244	50.135	SD	N/A	6a00108B
368372.858	73139.901	6.080	52.135	SD	N/A	6a00108B
368372.424	73140.307	3.022	52.727	G	N/A	6a00108B
368370.500	73141.760	2.734	55.137	G	N/A	6a00108B
368368.207	73143.563	2.462	58.054	G	N/A	6a00108B
368365.840	73145.514	2.179	61.121	G	N/A	6a00108B
368363.463	73147.327	1.690	64.110	G	N/A	6a00108B
368361.038	73149.334	1.245	67.257	G	N/A	6a00108B
368358.533	73151.313	0.772	70.450	G	N/A	6a00108B
368357.630	73152.125	0.593	71.662	G	N/A	6a00108B
368355.619	73153.712	0.259	74.224	G	N/A	6a00108B
368353.614	73155.367	-0.088	76.823	G	N/A	6a00108B
368351.222	73157.227	-0.446	79.853	G	N/A	6a00108B
368350.189	73158.070	-0.653	81.186	G	N/A	6a00108B
368348.283	73159.582	-1.030	83.619	G	N/A	6a00108B
368346.434	73161.092	-1.371	86.006	G	N/A	6a00108B
368345.762	73161.521	-1.624	86.799	G	N/A	6a00108B
368411.988	73163.118	14.189	-2.376	GR	N/A	6a00109A
368410.736	73163.555	13.939	-1.050	GR	N/A	6a00109A
368408.775	73164.205	12.812	1.016	GR	N/A	6a00109A
368407.087	73164.846	12.181	2.821	SD	N/A	6a00109A
368406.813	73164.945	12.165	3.112	SD	N/A	6a00109A
368406.623	73165.081	11.013	3.337	SD	N/A	6a00109A
368404.904	73165.677	10.953	5.156	SD	N/A	6a00109A
368402.674	73166.436	10.860	7.511	SD	N/A	6a00109A
368400.627	73167.182	10.729	9.690	SD	N/A	6a00109A
368399.359	73167.631	10.381	11.035	SD	N/A	6a00109A
368398.772	73167.827	9.870	11.654	SD	N/A	6a00109A
368397.515	73168.231	9.368	12.974	SD	N/A	6a00109A
368395.751	73168.824	8.929	14.835	SD	N/A	6a00109A
368395.664	73168.851	8.802	14.926	SD	N/A	6a00109A
368395.539	73168.894	8.776	15.058	SD	N/A	6a00109A
368395.442	73169.009	8.967	15.188	SD	N/A	6a00109A
368394.401	73169.367	8.474	16.288	SD	N/A	6a00109A
368393.141	73169.767	7.796	17.610	SD	N/A	6a00109A
368393.063	73169.831	7.643	17.704	SD	N/A	6a00109A
368392.927	73169.882	7.706	17.850	SD	N/A	6a00109A
368392.585	73170.002	7.393	18.212	SD	N/A	6a00109A
368391.667	73170.302	7.304	19.178	SD	N/A	6a00109A
368391.616	73170.334	7.076	19.236	SD	N/A	6a00109A
368391.520	73170.394	7.101	19.347	SD	N/A	6a00109A
368391.063	73170.551	6.883	19.830	SD	N/A	6a00109A
368390.993	73170.570	6.700	19.902	SD	N/A	6a00109A
368389.572	73171.050	6.075	21.402	SD	N/A	6a00109A
368389.305	73171.171	6.079	21.694	SD	N/A	6a00109A
368389.210	73171.198	6.155	21.793	SD	N/A	6a00109A
368388.146	73171.573	6.094	22.921	SD	N/A	6a00109A
368387.850	73171.670	5.389	23.232	G	N/A	6a00109A
368386.717	73172.084	5.338	24.439	G	N/A	6a00109A
368385.300	73172.599	4.981	25.946	G	N/A	6a00109A
368384.063	73173.020	4.983	27.253	G	N/A	6a00109A
368381.871	73173.807	4.982	29.582	G	N/A	6a00109A
368379.762	73174.482	4.373	31.795	G	N/A	6a00109A
368378.187	73175.079	3.956	33.479	HW	N/A	6a00109A
368377.606	73175.315	3.840	34.105	G	N/A	6a00109A
368375.732	73175.979	4.013	36.094	G	N/A	6a00109A
368374.237	73176.427	4.193	37.652	G	N/A	6a00109A
368373.553	73176.692	4.181	38.386	G	N/A	6a00109A
368372.188	73177.151	3.922	39.826	G	N/A	6a00109A
368370.815	73177.662	3.292	41.290	G	N/A	6a00109A
368368.226	73178.597	2.710	44.043	G	N/A	6a00109A
368365.351	73179.650	1.816	47.105	G	N/A	6a00109A
368362.759	73180.529	1.219	49.841	G	N/A	6a00109A
368359.500	73181.629	0.538	53.281	G	N/A	6a00109A
368357.273	73182.459	0.079	55.657	G	N/A	6a00109A
368354.238	73183.507	-0.482	58.868	G	N/A	6a00109A
368351.415	73184.466	-0.967	61.849	G	N/A	6a00109A
368349.427	73185.148	-1.159	63.951	G	N/A	6a00109A
368347.937	73185.717	-1.678	65.545	G	N/A	6a00109A
368416.217	73208.083	12.934	87.807	GR	N/A	6a00110
368413.695	73208.149	12.216	90.329	GR	N/A	6a00110
368412.848	73208.116	12.084	91.175	SD	N/A	6a00110
368412.410	73208.118	12.149	91.613	SD	N/A	6a00110
368412.162	73208.151	10.897	91.862	SD	N/A	6a00110
368408.779	73208.298	10.760	95.248	SD	N/A	6a00110
368406.214	73208.256	10.655	97.811	SD	N/A	6a00110
368405.478	73208.329	10.596	98.548	SD	N/A	6a00110
368404.704	73208.396	10.390	99.324	SD	N/A	6a00110
368404.513	73208.403	10.192	99.515	SD	N/A	6a00110
368404.082	73208.388	10.093	99.945	SD	N/A	6a00110
368403.961	73208.401	9.862	100.067	SD	N/A	6a00110
368403.248	73208.404	9.608	100.780	SD	N/A	6a00110
368402.331	73208.452	9.099	101.697	SD	N/A	6a00110
368401.899	73208.413	8.967	102.128	SD	N/A	6a00110
368401.522	73208.441	9.050	102.506	SD	N/A	6a00110
368400.901	73208.413	8.784	103.126	SD	N/A	6a00110
368400.774	73208.424	8.525	103.253	SD	N/A	6a00110
368399.441	73208.451	8.048	104.587	SD	N/A	6a00110
368397.795	73208.472	7.671	106.233	SD	N/A	6a00110
368397.716	73208.492	7.336	106.312	SD	N/A	6a00110
368397.246	73208.580	7.130	106.784	SD	N/A	6a00110
368396.295	73208.594	6.706	107.735	SD	N/A	6a00110
368396.142	73208.577	6.739	107.888	SD	N/A	6a00110
368395.675	73208.516	6.519	108.353	SD	N/A	6a00110
368395.367	73208.564	6.540	108.662	SD	N/A	6a00110
368394.639	73208.541	6.405	109.389	SD	N/A	6a00110
368394.350	73208.527	6.296	109.678	SD	N/A	6a00110
368394.006	73208.617	6.175	110.024	G	N/A	6a00110
368393.274	73208.618	6.129	110.756	G	N/A	6a00110
368391.369	73208.674	6.129	112.662	G	N/A	6a00110
368388.642	73208.759	6.186	115.390	G	N/A	6a00110
368386.449	73208.740	6.277	117.582	G	N/A	6a00110
368384.804	73208.723	6.017	119.226	G	N/A	6a00110
368384.768	73208.844	5.999	119.265	G	N/A	6a00110
368382.016	73208.859	5.557	122.016	G	N/A	6a00110
368380.445	73208.935	5.299	123.589	G	N/A	6a00110
368377.903	73208.949	4.466	126.130	G	N/A	6a00110
368376.523	73209.038	4.113	127.512	G	N/A	6a00110
368375.271	73209.050	4.075	128.764	G	N/A	6a00110
368374.064	73209.112	4.289	129.972	G	N/A	6a00110
368372.277	73209.099	3.912	131.758	G	N/A	6a00110
368370.642	73209.143	3.232	133.394	G	N/A	6a00110
368367.654	73209.194	2.499	136.382	G	N/A	6a00110
368364.462	73209.248	1.777	139.575	G	N/A	6a00110
368361.386	73209.394	0.975	142.653	G	N/A	6a00110
368358.739	73209.468	0.305	145.301	G	N/A	6a00110
368356.996	73209.492	0.023	147.044	G	N/A	6a00110
368353.954	73209.485	-0.505	150.085	G	N/A	6a00110
368351.545	73209.616	-0.911	152.497	G	N/A	6a00110
368350.042	73209.634	-1.063	154.000	G	N/A	6a00110
368348.233	73209.685	-1.621	155.809	G	N/A	6a00110
368394.107	73335.184	9.929	80.800	FB	N/A	6a00113
368393.676	73335.053	9.869	81.251	FB	N/A	6a00113
368393.640	73335.056	9.652	81.284	FB	N/A	6a00113
368393.319	73334.941	9.631	81.625	FB	N/A	6a00113
368393.291	73334.950	9.276	81.649	FB	N/A	6a00113
368391.471	73334.394	9.509	83.551	FB	N/A	6a00113
368388.898	73333.520	9.968	86.269	FB	N/A	6a00113
368386.342	73332.701	10.444	88.953	FB	N/A	6a00113
368384.451	73332.041	10.640	90.955	FB	N/A	6a00113
368382.334	73331.364	10.670	93.177	FB	N/A	6a00113
368379.330	73330.430	10.634	96.323	FB	N/A	6a00113
368378.928	73330.333	10.656	96.735	SD	N/A	6a00113
368378.731	73330.200	11.790	96.964	SD	N/A	6a00113
368378.178	73330.070	11.793	97.530	SD	N/A	6a00113
368377.940	73329.941	10.871	97.796	SD	N/A	6a00113
368376.914	73329.618	10.562	98.872	SD	N/A	6a00113
368374.020	73328.777	10.477	101.884	SD	N/A	6a00113
368373.486	73328.515	7.039	102.473	SD	N/A	6a00113
368371.758	73327.950	7.039	104.291	SD	N/A	6a00113
368371.599	73327.918	6.534	104.452	SD	N/A	6a00113
368370.773	73327.656	6.525	105.318	SD	N/A	6a00113
368370.642	73327.642	6.029	105.447	SD	N/A	6a00113
368369.829	73327.334	6.026	106.316	SD	N/A	6a00113
368369.754	73327.311	6.018	106.394	G	N/A	6a00113
368369.021	73327.110	5.975	107.154	G	N/A	6a00113
368366.662	73326.367	5.868	109.627	G	N/A	6a00113
368363.527	73325.351	5.811	112.922	G	N/A	6a00113
368361.569	73324.727	5.663	114.977	G	N/A	6a00113
368359.881	73324.169	5.061	116.755	G	N/A	6a00113
368357.762	73323.497	4.340	118.978	G	N/A	6a00113
368357.099	73323.285	4.280	119.674	G	N/A	6a00113
368354.539	73322.445	4.558	122.368	G	N/A	6a00113
368354.378	73322.369	4.536	122.545	G	N/A	6a00113
368353.394	73322.055	4.219	123.578	G	N/A	6a00113
368351.134	73321.283	3.335	125.966	G	N/A	6a00113
368348.826	73320.634	2.652	128.361	G	N/A	6a00113
368346.168	73319.730	1.937	131.169	G	N/A	6a00113
368343.640	73318.961	1.292	133.811	G	N/A	6a00113
368340.369	73317.903	0.372	137.248	G	N/A	6a00113
368338.494	73317.293	0.025	139.220	G	N/A	6a00113
368335.813	73316.340	-0.435	142.064	G	N/A	6a00113
368333.760	73315.766	-0.714	144.194	G	N/A	6a00113
368331.116	73314.867	-1.462	146.987	G	N/A	6a00113
368330.168	73314.549	-1.640	147.987	G	N/A	6a00113
368362.288	73437.513	9.265	51.923	G	N/A	6a00115
368360.928	73436.948	9.191	53.395	G	N/A	6a00115
368359.826	73436.429	9.463	54.612	G	N/A	6a00115
368359.680	73436.345	11.789	54.780	SD	N/A	6a00115
368359.258	73436.221	11.780	55.216	SD	N/A	6a00115
368359.027	73436.097	10.799	55.478	SD	N/A	6a00115
368356.665	73435.055	10.755	58.059	SD	N/A	6a00115
368353.853	73433.883	10.682	61.105	SD	N/A	6a00115
